儉	〔검〕검소할, 흉년들, 적을, 가난할
劍	〔검〕칼, 칼로 찔러 죽일, 칼 쓰는법
劒	〔검〕劎의 譌字, 칼
黔	〔검〕검을
鈐	〔검〕굴대 비녀장, 자물쇠, 큰 보습
瞼	〔검〕눈시울
撿	〔검〕잡을, 구속할, 관찰할, 비교할
芡	〔검〕마름, 가시연밥
檢丹	지명
檢沙洞	지명
劒山洞	지명
檢山洞	지명
檢詳洞	지명
黔岩洞	지명
黔川洞	지명
怯	〔겁〕무서워할, 겁낼, 으를
劫	〔겁〕위협할, 겁탈할, 부지런할, 대궐 층계, 겁, 화재, 빼앗을
迲	〔겁〕자내
刦	〔겁〕겁탈할, 구속할
刧	〔겁〕刦의 俗字
揭	〔게〕높이 들, 옷 걷고 물 건널, 등에 질
憩	〔게〕쉴
格	〔격〕이를, 올, 바를, 대적할, 감동할, 격식
激	〔격〕물결 부딪혀 흐를, 찌를, 맑은 소리, 말 과격히 할, 급할
擊	〔격〕撃과 同字, 칠
隔	〔격〕막을, 멀
檄	〔격〕격서, 격문, 과격할
膈	〔격〕명치
覡	〔격〕박수, 남자무당
骼	〔격〕마른 뼈, 드러난 뼈, 짐승의 뼈
闃	〔격〕고요할
鬲	〔격〕오지병, 땅이름, 다리굽은솥
挌	〔격〕칠, 들
鴃	〔격〕왜가리, 때까치
毄	〔격〕맞부딛는 소리, 충돌할, 창
格魯吉亞	그루지야
格林納達	그레나다
見	〔견〕볼, 만날, 당할 〔현〕나타날, 드러날, 있을, 보일, 볼
犬	〔견〕큰 개
堅	〔견〕굳을, 굳셀, 반드시
遣	〔견〕보낼, 쫓을, 견전제
牽	〔견〕당길, 이끌, 빠를, 거리낄, 볏줄
肩	〔견〕어깨, 이길, 맡길, 멜, 세 살 된 짐승
絹	〔견〕비단, 깁
甄	〔견〕질그릇, 살필, 표시할, 진 이름, 면할, 밝을
譴	〔견〕꾸짖을, 성낼, 귀양갈
鵑	〔견〕접동새, 두견새, 뻐꾹새
繭	〔견〕고치, 발 부르틀, 목 쉴, 비단
蠲	〔견〕밝을, 조촐할, 반딧불
畎	〔견〕밭 도랑, 산골 도랑
狷	〔견〕고집스러울, 조수할, 편협할
繾	〔견〕곡진할, 마지 않을
筧	〔견〕대 홈통
羂	〔견〕걸, 걸릴
樫	〔견〕떡갈나무
鰹	〔견〕큰 가물치, 물치, 강고도리
犭	〔견〕개사슴변
見召洞	지명
堅志洞	지명
結	〔결〕맺을, 마칠, 나중, 몫
決	〔결〕결단할, 물이름, 물골 터 놓을, 끊을, 이별할
