ㄱㅣㅀ	긿
ㄱㅣㅁ	김
ㄱㅣㅂ	깁
ㄱㅣㅄ	깂
ㄱㅣㅅ	깃
ㄱㅣㅆ	깄
ㄱㅣㅇ	깅
ㄱㅣㅈ	깆
ㄱㅣㅊ	깇
ㄱㅣㅋ	깈
ㄱㅣㅌ	깉
ㄱㅣㅍ	깊
ㄱㅣㅎ	깋
ㄲㅏ	까
ㄲㅏㄱ	깍
ㄲㅏㄲ	깎
ㄲㅏㄳ	깏
ㄲㅏㄴ	깐
ㄲㅏㄵ	깑
ㄲㅏㄶ	깒
ㄲㅏㄷ	깓
ㄲㅏㄹ	깔
ㄲㅏㄺ	깕
ㄲㅏㄻ	깖
ㄲㅏㄼ	깗
ㄲㅏㄽ	깘
ㄲㅏㄾ	깙
ㄲㅏㄿ	깚
ㄲㅏㅀ	깛
ㄲㅏㅁ	깜
ㄲㅏㅂ	깝
ㄲㅏㅄ	깞
ㄲㅏㅅ	깟
ㄲㅏㅆ	깠
ㄲㅏㅇ	깡
ㄲㅏㅈ	깢
ㄲㅏㅊ	깣
ㄲㅏㅋ	깤
ㄲㅏㅌ	깥
ㄲㅏㅍ	깦
ㄲㅏㅎ	깧
ㄲㅐ	깨
ㄲㅐㄱ	깩
ㄲㅐㄲ	깪
ㄲㅐㄳ	깫
ㄲㅐㄴ	깬
ㄲㅐㄵ	깭
ㄲㅐㄶ	깮
ㄲㅐㄷ	깯
ㄲㅐㄹ	깰
ㄲㅐㄺ	깱
ㄲㅐㄻ	깲
ㄲㅐㄼ	깳
ㄲㅐㄽ	깴
ㄲㅐㄾ	깵
ㄲㅐㄿ	깶
ㄲㅐㅀ	깷
ㄲㅐㅁ	깸
ㄲㅐㅂ	깹
ㄲㅐㅄ	깺
ㄲㅐㅅ	깻
ㄲㅐㅆ	깼
ㄲㅐㅇ	깽
ㄲㅐㅈ	깾
ㄲㅐㅊ	깿
ㄲㅐㅋ	꺀
ㄲㅐㅌ	꺁
ㄲㅐㅍ	꺂
ㄲㅐㅎ	꺃
ㄲㅑ	꺄
ㄲㅑㄱ	꺅
ㄲㅑㄲ	꺆
ㄲㅑㄳ	꺇
ㄲㅑㄴ	꺈
ㄲㅑㄵ	꺉
ㄲㅑㄶ	꺊
ㄲㅑㄷ	꺋
ㄲㅑㄹ	꺌
ㄲㅑㄺ	꺍
ㄲㅑㄻ	꺎
ㄲㅑㄼ	꺏
ㄲㅑㄽ	꺐
ㄲㅑㄾ	꺑
ㄲㅑㄿ	꺒
ㄲㅑㅀ	꺓
ㄲㅑㅁ	꺔
ㄲㅑㅂ	꺕
ㄲㅑㅄ	꺖
ㄲㅑㅅ	꺗
ㄲㅑㅆ	꺘
ㄲㅑㅇ	꺙
ㄲㅑㅈ	꺚
ㄲㅑㅊ	꺛
ㄲㅑㅋ	꺜
ㄲㅑㅌ	꺝
ㄲㅑㅍ	꺞
ㄲㅑㅎ	꺟
ㄲㅒ	꺠
ㄲㅒㄱ	꺡
ㄲㅒㄲ	꺢
ㄲㅒㄳ	꺣
ㄲㅒㄴ	꺤
ㄲㅒㄵ	꺥
ㄲㅒㄶ	꺦
ㄲㅒㄷ	꺧
ㄲㅒㄹ	꺨
ㄲㅒㄺ	꺩
ㄲㅒㄻ	꺪
ㄲㅒㄼ	꺫
ㄲㅒㄽ	꺬
ㄲㅒㄾ	꺭
ㄲㅒㄿ	꺮
ㄲㅒㅀ	꺯
ㄲㅒㅁ	꺰
ㄲㅒㅂ	꺱
ㄲㅒㅄ	꺲
ㄲㅒㅅ	꺳
ㄲㅒㅆ	꺴
ㄲㅒㅇ	꺵
ㄲㅒㅈ	꺶
ㄲㅒㅊ	꺷
ㄲㅒㅋ	꺸
ㄲㅒㅌ	꺹
ㄲㅒㅍ	꺺
ㄲㅒㅎ	꺻
ㄲㅓ	꺼
ㄲㅓㄱ	꺽
ㄲㅓㄲ	꺾
ㄲㅓㄳ	꺿
ㄲㅓㄴ	껀
ㄲㅓㄵ	껁
ㄲㅓㄶ	껂
ㄲㅓㄷ	껃
ㄲㅓㄹ	껄
ㄲㅓㄺ	껅
ㄲㅓㄻ	껆
ㄲㅓㄼ	껇
ㄲㅓㄽ	껈
ㄲㅓㄾ	껉
ㄲㅓㄿ	껊
ㄲㅓㅀ	껋
ㄲㅓㅁ	껌
ㄲㅓㅂ	껍
ㄲㅓㅄ	껎
ㄲㅓㅅ	껏
ㄲㅓㅆ	껐
ㄲㅓㅇ	껑
ㄲㅓㅈ	껒
ㄲㅓㅊ	껓
ㄲㅓㅋ	껔
ㄲㅓㅌ	껕
ㄲㅓㅍ	껖
ㄲㅓㅎ	껗
ㄲㅔ	께
ㄲㅔㄱ	껙
ㄲㅔㄲ	껚
ㄲㅔㄳ	껛
ㄲㅔㄴ	껜
ㄲㅔㄵ	껝
ㄲㅔㄶ	껞
ㄲㅔㄷ	껟
ㄲㅔㄹ	껠
ㄲㅔㄺ	껡
ㄲㅔㄻ	껢
ㄲㅔㄼ	껣
ㄲㅔㄽ	껤
ㄲㅔㄾ	껥
ㄲㅔㄿ	껦
ㄲㅔㅀ	껧
ㄲㅔㅁ	껨
ㄲㅔㅂ	껩
ㄲㅔㅄ	껪
ㄲㅔㅅ	껫
ㄲㅔㅆ	껬
ㄲㅔㅇ	껭
ㄲㅔㅈ	껮
ㄲㅔㅊ	껯
ㄲㅔㅋ	껰
ㄲㅔㅌ	껱
ㄲㅔㅍ	껲
ㄲㅔㅎ	껳
ㄲㅕ	껴
ㄲㅕㄱ	껵
ㄲㅕㄲ	껶
ㄲㅕㄳ	껷
ㄲㅕㄴ	껸
ㄲㅕㄵ	껹
ㄲㅕㄶ	껺
ㄲㅕㄷ	껻
ㄲㅕㄹ	껼
ㄲㅕㄺ	껽
ㄲㅕㄻ	껾
ㄲㅕㄼ	껿
ㄲㅕㄽ	꼀
ㄲㅕㄾ	꼁
ㄲㅕㄿ	꼂
ㄲㅕㅀ	꼃
ㄲㅕㅁ	꼄
ㄲㅕㅂ	꼅
ㄲㅕㅄ	꼆
ㄲㅕㅅ	꼇
ㄲㅕㅆ	꼈
ㄲㅕㅇ	꼉
ㄲㅕㅈ	꼊
ㄲㅕㅊ	꼋
ㄲㅕㅋ	꼌
ㄲㅕㅌ	꼍
ㄲㅕㅍ	꼎
ㄲㅕㅎ	꼏
ㄲㅖ	꼐
ㄲㅖㄱ	꼑
ㄲㅖㄲ	꼒
ㄲㅖㄳ	꼓
ㄲㅖㄴ	꼔
ㄲㅖㄵ	꼕
ㄲㅖㄶ	꼖
ㄲㅖㄷ	꼗
ㄲㅖㄹ	꼘
ㄲㅖㄺ	꼙
ㄲㅖㄻ	꼚
ㄲㅖㄼ	꼛
ㄲㅖㄽ	꼜
